qid	rank	docid	score
I09	1	y1mosn	2.3212
I09	2	yifq4v	0.9970
I09	3	yeu0gd	0.9825
I09	4	y2ah1q	0.9763
I09	5	z6pfsr	0.9686
I09	6	y143gk	0.9672
I09	7	y3904d	0.9552
I09	8	yc6qtp	0.9512
I09	9	yoqlba	0.9510
I09	10	z6aryh	0.9494
I10	1	y0ymr8	2.9275
I10	2	y3d3lw	2.7774
I10	3	z7rabn	2.5403
I10	4	yifq4v	0.9970
I10	5	yeu0gd	0.9825
I10	6	y2ah1q	0.9763
I10	7	z6pfsr	0.9686
I10	8	y143gk	0.9672
I10	9	y3904d	0.9552
I10	10	yc6qtp	0.9512
S01	1	z18oeg	5.5693
S01	2	yjw6y3	4.7132
S01	3	y71ruz	4.4907
S01	4	y71u6d	4.4907
S01	5	yw6pmp	4.4657
S01	6	xx7xq6	4.2698
S01	7	z7x3pn	4.2404
S01	8	z03124	4.1878
S01	9	yga3ea	4.1827
S01	10	ycfaiw	4.1476
S02	1	y8ss1m	4.7085
S02	2	ywsm1q	4.0031
S02	3	ysc7gs	3.7846
S02	4	z2hfg4	3.6638
S02	5	y8q92a	3.6382
S02	6	y1nj5q	3.6227
S02	7	y1nrab	3.6227
S02	8	y43lxa	3.5880
S02	9	y3904d	3.4664
S02	10	yaqlvi	3.4596
S03	1	ya6eum	2.7883
S03	2	ya6fay	2.7791
S03	3	xwcghu	2.6900
S03	4	yyglj9	2.6041
S03	5	ylixp5	2.5960
S03	6	yo2iwi	2.5729
S03	7	yce5c3	2.4772
S03	8	ykm9qr	2.4676
S03	9	yhkq6i	2.4004
S03	10	yhkqpd	2.4004
S04	1	y9zywr	4.1720
S04	2	yih4l7	3.3336
S04	3	y2az5o	3.3115
S04	4	y2vz2q	3.2470
S04	5	y2ty82	3.1649
S04	6	y2ubqt	3.1649
S04	7	y700bq	3.1649
S04	8	y16n3z	2.7628
S04	9	y89xqw	2.5911
S04	10	ylrio4	2.4562
S05	1	y8zy6f	4.6962
S05	2	y87k8t	4.6630
