qid	rank	docid	score
I08	4	10an04n	4.1787
I08	5	zsx7pq	4.1787
I08	6	100ukxb	4.1622
I08	7	10an0vt	4.1622
I08	8	zfwcef	4.1622
I08	9	zfwcxm	4.1622
I08	10	zfwdzq	4.1622
I09	1	10cmbag	4.9774
I09	2	10b2fjk	4.7868
I09	3	zf32kx	4.7493
I09	4	zwn3zf	4.7019
I09	5	10cnv36	4.6761
I09	6	zqyd2k	4.5508
I09	7	1022kdo	4.1918
I09	8	10941tg	4.1330
I09	9	10j8u63	4.1202
I09	10	1086tf9	3.9868
I10	1	102kaca	4.5766
I10	2	102kgw2	4.5586
I10	3	zt6caw	4.5586
I10	4	zz763h	4.0272
I10	5	zjyvz7	4.0144
I10	6	zpi2we	3.7432
I10	7	zxkuqo	3.7400
I10	8	zph8sr	3.7136
I10	9	zphbry	3.7136
I10	10	zqakqv	3.7136
S01	1	106ekcj	6.7947
S01	2	103h33f	6.1449
S01	3	1009vo3	5.9406
S01	4	108bbf3	5.9366
S01	5	zmglvv	5.6233
S01	6	102s2xl	5.5998
S01	7	zlywj2	5.4680
S01	8	10gd480	5.4205
S01	9	zqz8hc	5.4149
S01	10	10gcx4o	5.3635
S02	1	zy8eeb	6.9953
S02	2	10c606n	6.8529
S02	3	znoj2b	6.8299
S02	4	zg3ytp	6.6433
S02	5	10hywp6	6.5208
S02	6	10gx42c	6.4138
S02	7	106xlm2	6.1033
S02	8	10kg0by	6.0554
S02	9	zkykuf	6.0554
S02	10	zyupxj	6.0235
S03	1	10dmj7o	3.1953
S03	2	zy1m3q	3.1596
S03	3	10crkb0	3.1279
S03	4	109zekr	3.0756
S03	5	zhwjav	3.0109
S03	6	10k8qzb	3.0093
S03	7	zgcqay	2.9946
S03	8	107xz37	2.9895
S03	9	1063411	2.9614
S03	10	zi35ea	2.9162
S04	1	10ajn14	4.5300
S04	2	10h6k4g	4.5266
S04	3	zg1kbq	4.4388
S04	4	zsas6p	4.4304
S04	5	zw0zqz	4.1512
S04	6	10dw29f	4.0927
S04	7	10ceaas	4.0461
S04	8	zocaid	3.9256
S04	9	10egj5x	3.9153
S04	10	10gcx4o	3.9094
S05	1	zz8zs4	7.2282
S05	2	zn1w0g	6.9442
S05	3	znlfgs	6.8903
S05	4	10bddey	6.4870
S05	5	zr5d30	5.6047
S05	6	zgmy2b	4.7545
S05	7	zks5at	4.6244
S05	8	zchnm6	4.5693
S05	9	10i7tbu	4.4753
S05	10	znlmno	4.4658
S06	1	107fjv4	6.9175
S06	2	10f5ew3	6.8635
S06	3	10ixh1z	6.8369
S06	4	10ixiji	6.8369
S06	5	10cl1gz	6.0615
S06	6	1044jca	5.3498
S06	7	zqz8hc	5.2840
S06	8	zm79yl	4.9101
S06	9	zrnkqz	4.5461
S06	10	zpss0j	4.5342
S07	1	zldtgf	5.2743
S07	2	10jt0ya	5.1847
S07	3	zxytti	5.1059
S07	4	zp4jv8	4.8345
S07	5	zp43od	4.8298
S07	6	zikgdt	4.7590
S07	7	zuywhh	4.5622
S07	8	10g7z9j	4.4585
S07	9	10benks	4.4012
S07	10	10dimg4	4.3859
S08	1	zmt0cg	5.8150
S08	2	zceceb	4.9810
S08	3	10k0p8f	4.9094
S08	4	zkvo2t	4.4433
S08	5	znsnsq	4.4431
S08	6	zww7ni	4.3755
S08	7	zn2o9q	4.3639
S08	8	zehiqm	4.3399
S08	9	zjz8zf	4.2101
S08	10	zo0uot	4.1734
S09	1	zrzbal	6.4591
S09	2	zwpbax	5.3242
S09	3	zh0vh9	5.3199
S09	4	zwp4av	5.2992
S09	5	zhiuqz	5.2323
S09	6	zrd125	5.2267
S09	7	zy0nrq	5.1120
S09	8	zwgobh	5.0728
S09	9	108ll0f	5.0558
S09	10	108u52z	5.0558
S10	1	103m32h	4.7940
S10	2	zgdbp2	4.3262
S10	3	zoiouf	4.2393
S10	4	103eypb	4.2376
S10	5	zuojkm	4.1384
S10	6	10e3vv7	4.0612
S10	7	101lc6d	4.0329
S10	8	zstcqz	3.9340
S10	9	100s68v	3.7504
S10	10	1064p2j	3.7302
